,Order Date
73891,01/01/19 03:07
74701,01/01/19 03:40
76054,01/01/19 04:56
76708,01/01/19 05:53
76061,01/01/19 06:03
68056,01/01/19 06:13
76348,01/01/19 06:34
68826,01/01/19 06:41
72609,01/01/19 07:24
69934,01/01/19 07:26
67631,01/01/19 07:26
71311,01/01/19 07:29
71310,01/01/19 07:29
71806,01/01/19 07:33
69180,01/01/19 07:35
74751,01/01/19 07:37
67679,01/01/19 07:46
76311,01/01/19 07:47
72436,01/01/19 07:48
72626,01/01/19 07:53
71512,01/01/19 08:13
68514,01/01/19 08:16
77132,01/01/19 08:25
76134,01/01/19 08:31
70217,01/01/19 08:44
71607,01/01/19 08:48
72555,01/01/19 09:03
68552,01/01/19 09:08
77159,01/01/19 09:08
71021,01/01/19 09:12
74156,01/01/19 09:18
73039,01/01/19 09:21
68490,01/01/19 09:23
76664,01/01/19 09:33
72682,01/01/19 09:36
77158,01/01/19 09:37
76090,01/01/19 09:38
74405,01/01/19 09:48
71696,01/01/19 09:58
68814,01/01/19 09:58
76667,01/01/19 10:02
72670,01/01/19 10:02
69770,01/01/19 10:06
70150,01/01/19 10:08
76304,01/01/19 10:09
68912,01/01/19 10:11
75674,01/01/19 10:12
72067,01/01/19 10:16
67936,01/01/19 10:21
71418,01/01/19 10:23
68626,01/01/19 10:27
67555,01/01/19 10:30
70988,01/01/19 10:31
72324,01/01/19 10:32
74720,01/01/19 10:40
67634,01/01/19 10:43
69977,01/01/19 10:49
74620,01/01/19 11:00
67987,01/01/19 11:01
73620,01/01/19 11:07
70757,01/01/19 11:09
74216,01/01/19 11:10
70167,01/01/19 11:16
67665,01/01/19 11:17
73136,01/01/19 11:21
74737,01/01/19 11:25
74736,01/01/19 11:25
73499,01/01/19 11:31
71254,01/01/19 11:34
76742,01/01/19 11:35
73932,01/01/19 11:36
76516,01/01/19 11:36
67838,01/01/19 11:41
72816,01/01/19 11:43
74013,01/01/19 11:44
70703,01/01/19 11:48
73439,01/01/19 11:55
68518,01/01/19 11:57
74733,01/01/19 12:00
75124,01/01/19 12:02
75123,01/01/19 12:02
70123,01/01/19 12:06
73179,01/01/19 12:09
76210,01/01/19 12:11
67880,01/01/19 12:14
68617,01/01/19 12:16
68659,01/01/19 12:17
76247,01/01/19 12:28
73453,01/01/19 12:35
69312,01/01/19 12:35
73011,01/01/19 12:39
76787,01/01/19 12:50
71176,01/01/19 12:51
71177,01/01/19 12:51
74084,01/01/19 12:57
74085,01/01/19 12:57
74588,01/01/19 12:59
68536,01/01/19 12:59
71856,01/01/19 13:05
70940,01/01/19 13:08
76650,01/01/19 13:10
76006,01/01/19 13:14
70356,01/01/19 13:15
69103,01/01/19 13:15
71532,01/01/19 13:18
76996,01/01/19 13:21
75553,01/01/19 13:25
68361,01/01/19 13:26
70191,01/01/19 13:29
70190,01/01/19 13:29
74052,01/01/19 13:30
69346,01/01/19 13:31
67853,01/01/19 13:34
69985,01/01/19 13:36
74955,01/01/19 13:47
69215,01/01/19 13:51
68465,01/01/19 13:51
68466,01/01/19 13:51
67648,01/01/19 13:58
70051,01/01/19 13:58
76230,01/01/19 14:04
71136,01/01/19 14:06
74096,01/01/19 14:07
73817,01/01/19 14:12
73816,01/01/19 14:12
68029,01/01/19 14:15
73706,01/01/19 14:17
73655,01/01/19 14:20
67967,01/01/19 14:21
74796,01/01/19 14:23
69547,01/01/19 14:24
77073,01/01/19 14:25
75440,01/01/19 14:26
71370,01/01/19 14:29
71369,01/01/19 14:29
73840,01/01/19 14:30
74748,01/01/19 14:31
77099,01/01/19 14:32
77100,01/01/19 14:32
69826,01/01/19 14:32
68719,01/01/19 14:33
68720,01/01/19 14:33
67971,01/01/19 14:36
70041,01/01/19 14:38
68883,01/01/19 14:41
72016,01/01/19 14:45
69315,01/01/19 14:45
74066,01/01/19 14:48
75096,01/01/19 14:51
72655,01/01/19 14:52
74410,01/01/19 14:55
68185,01/01/19 15:01
75515,01/01/19 15:25
75870,01/01/19 15:25
75026,01/01/19 15:27
70774,01/01/19 15:27
76964,01/01/19 15:28
75336,01/01/19 15:30
72941,01/01/19 15:32
70925,01/01/19 15:33
69933,01/01/19 15:39
74637,01/01/19 15:41
68207,01/01/19 15:49
67644,01/01/19 16:01
71086,01/01/19 16:05
67724,01/01/19 16:06
75451,01/01/19 16:09
73510,01/01/19 16:11
70613,01/01/19 16:16
72148,01/01/19 16:16
68669,01/01/19 16:23
69844,01/01/19 16:23
71649,01/01/19 16:26
76681,01/01/19 16:31
76840,01/01/19 16:35
71155,01/01/19 16:36
71638,01/01/19 16:44
76928,01/01/19 16:44
72759,01/01/19 16:45
69768,01/01/19 16:46
69942,01/01/19 16:50
70034,01/01/19 16:52
67578,01/01/19 16:52
76526,01/01/19 16:53
71956,01/01/19 16:59
73714,01/01/19 16:59
76839,01/01/19 17:02
74330,01/01/19 17:04
71377,01/01/19 17:05
69815,01/01/19 17:13
70844,01/01/19 17:17
74746,01/01/19 17:19
74234,01/01/19 17:30
67919,01/01/19 17:30
74793,01/01/19 17:36
73368,01/01/19 17:40
68413,01/01/19 17:45
75115,01/01/19 17:45
75387,01/01/19 17:52
76405,01/01/19 17:53
74391,01/01/19 17:55
70724,01/01/19 17:56
74261,01/01/19 17:57
76269,01/01/19 17:57
76270,01/01/19 17:57
75278,01/01/19 18:02
71382,01/01/19 18:03
70628,01/01/19 18:04
69548,01/01/19 18:07
74335,01/01/19 18:09
73508,01/01/19 18:09
68714,01/01/19 18:11
68954,01/01/19 18:17
73026,01/01/19 18:20
70669,01/01/19 18:22
72882,01/01/19 18:25
73053,01/01/19 18:29
73052,01/01/19 18:29
76042,01/01/19 18:30
73293,01/01/19 18:31
75540,01/01/19 18:31
69514,01/01/19 18:34
76289,01/01/19 18:39
69622,01/01/19 18:39
72376,01/01/19 18:41
71076,01/01/19 18:44
75698,01/01/19 18:49
73557,01/01/19 18:51
71368,01/01/19 18:53
76988,01/01/19 18:55
74373,01/01/19 18:56
72060,01/01/19 18:57
69395,01/01/19 19:00
69308,01/01/19 19:00
74674,01/01/19 19:03
74273,01/01/19 19:07
76769,01/01/19 19:11
69167,01/01/19 19:15
72966,01/01/19 19:16
75120,01/01/19 19:16
73513,01/01/19 19:17
71069,01/01/19 19:20
73748,01/01/19 19:30
68903,01/01/19 19:47
68334,01/01/19 19:51
68289,01/01/19 19:54
70822,01/01/19 19:56
70184,01/01/19 20:04
70029,01/01/19 20:13
70778,01/01/19 20:13
68116,01/01/19 20:13
68115,01/01/19 20:13
73440,01/01/19 20:22
76603,01/01/19 20:23
69847,01/01/19 20:28
74356,01/01/19 20:29
76359,01/01/19 20:33
74703,01/01/19 20:39
72706,01/01/19 20:45
75641,01/01/19 20:53
75642,01/01/19 20:53
68655,01/01/19 20:54
67970,01/01/19 20:59
69397,01/01/19 21:01
70320,01/01/19 21:08
71542,01/01/19 21:11
73515,01/01/19 21:23
69567,01/01/19 21:28
72507,01/01/19 21:32
72590,01/01/19 21:32
71722,01/01/19 21:34
75994,01/01/19 21:40
70699,01/01/19 21:42
70630,01/01/19 21:46
67726,01/01/19 21:49
75317,01/01/19 21:51
73594,01/01/19 21:52
71774,01/01/19 21:56
70209,01/01/19 21:59
67573,01/01/19 22:00
68416,01/01/19 22:02
72982,01/01/19 22:11
74912,01/01/19 22:29
76098,01/01/19 22:36
74077,01/01/19 22:37
68704,01/01/19 22:37
74076,01/01/19 22:37
74556,01/01/19 22:45
75118,01/01/19 22:46
73627,01/01/19 22:51
69920,01/01/19 23:07
73094,01/01/19 23:07
68690,01/01/19 23:08
70478,01/01/19 23:12
73832,01/01/19 23:17
72957,01/01/19 23:18
74041,01/01/19 23:27
73427,01/01/19 23:42
76079,01/01/19 23:42
73512,01/01/19 23:48
74110,01/01/19 23:48
67927,01/01/19 23:58
46840,01/01/20 00:10
46839,01/01/20 00:10
37442,01/01/20 00:14
35749,01/01/20 00:14
32660,01/01/20 00:22
32659,01/01/20 00:22
43656,01/01/20 00:24
31957,01/01/20 00:38
55198,01/01/20 00:45
50774,01/01/20 00:51
32819,01/01/20 00:54
35335,01/01/20 00:59
40744,01/01/20 01:00
52589,01/01/20 01:05
33947,01/01/20 01:17
50959,01/01/20 01:22
45481,01/01/20 01:46
41914,01/01/20 01:46
50158,01/01/20 01:47
49653,01/01/20 01:52
48336,01/01/20 01:56
43203,01/01/20 02:06
47498,01/01/20 02:12
42080,01/01/20 02:20
52554,01/01/20 02:58
55136,01/01/20 03:13
42207,01/01/20 03:14
33200,01/01/20 03:34
43512,01/01/20 04:06
39308,01/01/20 04:13
34027,01/01/20 04:21
41061,01/01/20 04:54
35497,01/01/20 05:13
35498,01/01/20 05:13
72724,01/02/19 00:10
69532,01/02/19 00:24
75356,01/02/19 00:34
69943,01/02/19 01:06
76900,01/02/19 01:07
74679,01/02/19 01:08
70235,01/02/19 01:13
73152,01/02/19 01:22
67929,01/02/19 01:26
67963,01/02/19 01:27
75422,01/02/19 02:24
76919,01/02/19 05:32
70712,01/02/19 06:10
71862,01/02/19 06:41
74851,01/02/19 06:53
68240,01/02/19 07:10
74824,01/02/19 07:22
71193,01/02/19 07:32
67788,01/02/19 07:44
73921,01/02/19 07:47
68997,01/02/19 07:53
76601,01/02/19 07:57
74728,01/02/19 07:58
74727,01/02/19 07:58
74197,01/02/19 08:05
74430,01/02/19 08:08
67604,01/02/19 08:25
67605,01/02/19 08:25
73923,01/02/19 08:25
70589,01/02/19 08:29
68273,01/02/19 08:31
68061,01/02/19 08:37
76083,01/02/19 08:43
72059,01/02/19 08:46
69581,01/02/19 08:47
68338,01/02/19 08:47
69506,01/02/19 09:03
70258,01/02/19 09:04
69083,01/02/19 09:05
77081,01/02/19 09:16
76343,01/02/19 09:17
76344,01/02/19 09:17
74776,01/02/19 09:20
68608,01/02/19 09:32
70528,01/02/19 09:40
71880,01/02/19 09:40
71552,01/02/19 09:40
68565,01/02/19 09:41
72090,01/02/19 09:45
68131,01/02/19 09:53
73663,01/02/19 09:54
75721,01/02/19 09:57
72028,01/02/19 10:03
71715,01/02/19 10:06
70292,01/02/19 10:09
69908,01/02/19 10:15
68851,01/02/19 10:18
73873,01/02/19 10:22
75431,01/02/19 10:24
69599,01/02/19 10:25
72687,01/02/19 10:27
68125,01/02/19 10:29
77230,01/02/19 10:32
67780,01/02/19 10:34
71339,01/02/19 10:36
67980,01/02/19 10:40
72686,01/02/19 10:42
75923,01/02/19 10:52
72322,01/02/19 10:55
76116,01/02/19 10:57
70254,01/02/19 11:00
68713,01/02/19 11:01
73057,01/02/19 11:04
72530,01/02/19 11:12
69842,01/02/19 11:13
74039,01/02/19 11:14
76799,01/02/19 11:15
68104,01/02/19 11:23
67813,01/02/19 11:26
72394,01/02/19 11:29
74881,01/02/19 11:30
73433,01/02/19 11:30
76672,01/02/19 11:31
71612,01/02/19 11:33
72956,01/02/19 11:38
75088,01/02/19 11:43
69794,01/02/19 11:47
68024,01/02/19 12:00
70633,01/02/19 12:05
76393,01/02/19 12:06
70038,01/02/19 12:10
74943,01/02/19 12:12
74942,01/02/19 12:12
76180,01/02/19 12:13
74231,01/02/19 12:14
72026,01/02/19 12:15
71989,01/02/19 12:18
69234,01/02/19 12:28
68554,01/02/19 12:38
68789,01/02/19 12:43
74146,01/02/19 12:46
70588,01/02/19 12:48
70378,01/02/19 12:50
71639,01/02/19 12:52
72166,01/02/19 12:54
68255,01/02/19 12:55
76208,01/02/19 12:59
72244,01/02/19 12:59
71628,01/02/19 12:59
70686,01/02/19 13:02
75257,01/02/19 13:07
69127,01/02/19 13:11
74780,01/02/19 13:12
67843,01/02/19 13:17
69027,01/02/19 13:17
71123,01/02/19 13:18
68216,01/02/19 13:18
76984,01/02/19 13:20
75042,01/02/19 13:20
71792,01/02/19 13:21
71791,01/02/19 13:21
69947,01/02/19 13:25
70941,01/02/19 13:30
68267,01/02/19 13:31
73820,01/02/19 13:37
67733,01/02/19 13:37
74095,01/02/19 13:40
68377,01/02/19 13:45
70364,01/02/19 13:46
75482,01/02/19 13:46
69837,01/02/19 13:50
70530,01/02/19 13:53
70529,01/02/19 13:53
74763,01/02/19 13:54
72063,01/02/19 13:54
74124,01/02/19 13:59
72884,01/02/19 14:00
73336,01/02/19 14:01
71962,01/02/19 14:02
74045,01/02/19 14:04
69808,01/02/19 14:04
69807,01/02/19 14:04
72620,01/02/19 14:04
73665,01/02/19 14:06
71070,01/02/19 14:08
74183,01/02/19 14:17
73105,01/02/19 14:17
69840,01/02/19 14:19
71499,01/02/19 14:20
68867,01/02/19 14:24
71337,01/02/19 14:26
75068,01/02/19 14:29
69126,01/02/19 14:35
73798,01/02/19 14:40
68265,01/02/19 14:42
76514,01/02/19 14:42
75880,01/02/19 14:54
74088,01/02/19 14:57
71113,01/02/19 15:02
75837,01/02/19 15:04
69216,01/02/19 15:05
73350,01/02/19 15:06
73349,01/02/19 15:06
76296,01/02/19 15:08
74635,01/02/19 15:11
73825,01/02/19 15:14
69057,01/02/19 15:16
73533,01/02/19 15:21
72933,01/02/19 15:22
71346,01/02/19 15:25
76911,01/02/19 15:28
76376,01/02/19 15:32
71313,01/02/19 15:35
76396,01/02/19 15:36
74504,01/02/19 15:38
70339,01/02/19 15:45
68882,01/02/19 15:45
68881,01/02/19 15:45
73717,01/02/19 15:47
73340,01/02/19 15:55
69821,01/02/19 15:58
75035,01/02/19 16:01
70033,01/02/19 16:06
74475,01/02/19 16:15
67597,01/02/19 16:16
70371,01/02/19 16:17
68718,01/02/19 16:18
68952,01/02/19 16:19
72793,01/02/19 16:24
73262,01/02/19 16:26
72598,01/02/19 16:27
72597,01/02/19 16:27
71925,01/02/19 16:29
72576,01/02/19 16:34
73915,01/02/19 16:35
76803,01/02/19 16:38
74542,01/02/19 16:39
69021,01/02/19 16:43
76007,01/02/19 16:44
76654,01/02/19 16:45
74931,01/02/19 16:46
71908,01/02/19 16:55
71907,01/02/19 16:55
71920,01/02/19 16:56
76259,01/02/19 17:00
75659,01/02/19 17:04
74523,01/02/19 17:07
70961,01/02/19 17:09
74221,01/02/19 17:11
76408,01/02/19 17:12
75430,01/02/19 17:12
68431,01/02/19 17:17
71877,01/02/19 17:19
71312,01/02/19 17:22
68402,01/02/19 17:26
74121,01/02/19 17:28
75622,01/02/19 17:30
75623,01/02/19 17:30
72644,01/02/19 17:31
75658,01/02/19 17:39
68504,01/02/19 17:39
72022,01/02/19 17:41
73612,01/02/19 17:46
75495,01/02/19 17:53
71379,01/02/19 17:58
71380,01/02/19 17:58
69880,01/02/19 17:58
76901,01/02/19 18:02
74101,01/02/19 18:11
71558,01/02/19 18:15
72776,01/02/19 18:16
74754,01/02/19 18:20
69302,01/02/19 18:22
71551,01/02/19 18:24
70187,01/02/19 18:25
76207,01/02/19 18:31
69805,01/02/19 18:33
72606,01/02/19 18:37
72558,01/02/19 18:43
75955,01/02/19 18:45
70917,01/02/19 18:55
72531,01/02/19 18:59
74861,01/02/19 19:05
69795,01/02/19 19:10
68084,01/02/19 19:18
70583,01/02/19 19:19
74138,01/02/19 19:32
68935,01/02/19 19:33
73173,01/02/19 19:37
70923,01/02/19 19:45
71569,01/02/19 19:49
72305,01/02/19 19:52
72557,01/02/19 19:54
75461,01/02/19 20:09
68127,01/02/19 20:10
68080,01/02/19 20:12
71489,01/02/19 20:15
69944,01/02/19 20:17
74977,01/02/19 20:18
76233,01/02/19 20:28
75195,01/02/19 20:29
72045,01/02/19 20:31
67600,01/02/19 20:33
71560,01/02/19 20:33
72113,01/02/19 20:33
73062,01/02/19 20:35
70666,01/02/19 20:36
68360,01/02/19 20:41
68477,01/02/19 20:45
74548,01/02/19 20:46
70750,01/02/19 20:50
71165,01/02/19 21:06
71360,01/02/19 21:10
71361,01/02/19 21:10
70619,01/02/19 21:14
74578,01/02/19 21:16
72583,01/02/19 21:18
77088,01/02/19 21:19
69090,01/02/19 21:32
74518,01/02/19 21:33
75007,01/02/19 21:37
